,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,number,street,city,district,postcode,latGold,lonGold
2742,7482,7482,7482,SN,RUA TAURO,SAO PAULO,IGUATEMI,,-23.612782,-46.423303
2743,5033,5033,5033,9953,ESTRADA DE ITAQUAQUECETUBA,SAO PAULO,GRAJAU,,-23.773352,-46.645842
2744,5030,5030,5030,SN,ESTRADA DO CURUCUTU,SAO PAULO,PARELHEIROS,,-23.87646,-46.633957
2745,11416,11416,11416,315,FRANCISCO DE SOUTOMAIOR,SAO PAULO,LAJEADO,,-23.526649,-46.391168
2746,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
2747,7024,7024,7024,178,SARGENTO HERMINIO AURELIO SAMPAIO,SAO PAULO,SAPOPEMBA,,-23.614608,-46.494674
2748,728,728,728,1414,RUA JUSA DO,SAO PAULO,PARELHEIROS,,-23.821185,-46.749788
2749,5031,5031,5031,         2,AMIZADE,SAO PAULO,GRAJAU,,-23.806643,-46.640582
2750,3262,3262,3262,68,RUA PEDRO ALEXANDRINO SOARES,SAO PAULO,RAPOSO TAVARES,,-23.581723,-46.789091
2751,8345,8345,8345,618,RUA DOS MARTIRES ARMENIOS,SAO PAULO,TUCURUVI,,-23.468079,-46.611528
2752,4543,4543,4543,SN,RUA PRINCIPAL,SAO PAULO,PERUS,,-23.41989,-46.749144
2753,9145,9145,9145,170,ANTONIO SIMPLICIO,SAO PAULO,TREMEMBE,,-23.452257,-46.607356
2754,5031,5031,5031,         2,AMIZADE,SAO PAULO,GRAJAU,,-23.806643,-46.640582
2755,207,207,207,75,RUA FILOMENA BELMONT,SAO PAULO,MARSILAC,,-23.907963,-46.706575
2756,11582,11582,11582,        87,MANUEL FELIX DE LIMA,SAO PAULO,JARDIM HELENA,,-23.478051,-46.384025
2757,9237,9237,9237,100,CRISANTEMO,SAO PAULO,TREMEMBE,,-23.431378,-46.573848
2758,9219,9219,9219,138,RUA JOSE MILTON BARBOSA,SAO PAULO,JACANA,,-23.450443,-46.577472
2759,1484,1484,1484,257,AVENIDA AUGUSTO BARBOSA TAVARES,SAO PAULO,CAMPO LIMPO,,-23.641026,-46.783053
2760,10120,10120,10120,395,RUA ANTONIO MOURA ANDRADE,SAO PAULO,ITAQUERA,,-23.530975,-46.443858
2761,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
2762,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
2763,5360,5360,5360,        77,GUATAMBUS,SAO PAULO,PEDREIRA,,-23.712991,-46.622907
2764,5031,5031,5031,         2,AMIZADE,SAO PAULO,GRAJAU,,-23.806643,-46.640582
2765,5865,5865,5865,335,AVENIDA PADRE ARLINDO VIEIRA,SAO PAULO,SACOMA,,-23.624956,-46.601637
2766,739,739,739,SN,MARCELO BERNARDINI,SAO PAULO,PARELHEIROS,,-23.797382,-46.736283
2767,5030,5030,5030,SN,ESTRADA DO CURUCUTU,SAO PAULO,PARELHEIROS,,-23.87646,-46.633957
2768,5360,5360,5360,        77,GUATAMBUS,SAO PAULO,PEDREIRA,,-23.712991,-46.622907
2769,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
2770,5037,5037,5037,SN,MARIA MOASSAB BARBOUR,SAO PAULO,GRAJAU,,-23.744412,-46.660168
2771,805,805,805,82,RUA PEDRO SCHIMITD,SAO PAULO,PARELHEIROS,,-23.849375,-46.696163
