,Unnamed: 0,IDEND,ID_EDC,ID_LOGRADOURO,SIGLA_TIPO_LOGRADOURO,DESC_TIPO_LOGRADOURO,NOME_LOGRADOURO,NUMERO_IMOVEL,LETRA_IMOVEL,ID_BAIRRO_POPULAR,NUM_BAIRRO_POPULAR,NOME_BAIRRO_POPULAR,ID_BAIRRO_OFICIAL,NUM_BAIRRO_OFICIAL,TIPO_BAIRRO_OFICIAL,NOME_BAIRRO_OFICIAL,ID_REGIONAL,NOME_REGIONAL,CEP,GEOMETRIA,LONGITUDE,LATITUDE
686,739909,05272200001,862845,52722,RUA,RUA,PAULO DE FRONTIN,1,,31,636,Carlos Prates,302,106,Seção Suburbana,Sexta,2,CENTRO-SUL,30111010.0,"(-19.91425836897318, -43.943761570287506)",-19.91425836897318,-43.94376157028751
687,702948,03140001975,805029,31400,RUA,RUA,DOS GOITACAZES,1975,,12,617,Barro Preto,175,8,Seção Urbana,Oitava,2,CENTRO-SUL,30190055.0,"(-19.919057393343817, -43.95548148096051)",-19.919057393343817,-43.95548148096051
688,234095,10663301355,314619,106633,AVE,AVENIDA,JOSE DE PATROCINIO PONTES,1355,,101,718,Mangabeiras,312,109,Bairro,das Mangabeiras,2,CENTRO-SUL,30210090.0,"(-19.95882389199766, -43.91281212606233)",-19.95882389199766,-43.91281212606233
689,24148,08887600780,895936,88876,RUA,RUA,PROFESSOR NAVANTINO ALVES,780,,478,1487,Cidade Jardim Taquaril,244,454,Bairro,Cidade Jardim Taquaril,3,LESTE,30285746.0,"(-19.93341036716918, -43.882541521360906)",-19.93341036716918,-43.882541521360906
690,585079,07029302013,586338,70293,RUA,RUA,CONTAGEM,2013,,143,767,Santa Inês,97,430,Bairro,Santa Inês,3,LESTE,31080255.0,"(-19.878906543741945, -43.90850312585729)",-19.878906543741945,-43.90850312585729
691,714287,08244800200,799390,82448,RUA,RUA,JESUE SOTTE,200,,156,780,São Bernardo,318,901,Bairro,São Bernardo,6,NORTE,31741374.0,"(-19.851761561328452, -43.93887388471488)",-19.85176156132845,-43.93887388471488
692,493521,12884500152,504895,128845,RUA,RUA,JOAQUIM TEIXEIRA DOS ANJOS,152,,313,1317,Conjunto Taquaril,102,442,Bairro,das Castanheiras,3,LESTE,30290610.0,"(-19.917651549297616, -43.873702722147314)",-19.917651549297616,-43.873702722147314
693,361843,12314500175,324198,123145,RUA,RUA,JORGE MARINI,175,,13,618,Belvedere,209,122,Bairro,Belvedere,2,CENTRO-SUL,30320550.0,"(-19.97263246094935, -43.93104570466738)",-19.97263246094935,-43.93104570466738
694,682217,07385600800,874682,73856,AVE,AVENIDA,XIMANGO,800,,484,1494,Serra do Curral,249,488,Bairro,do Pilar,1,BARREIRO,30624160.0,"(-20.000730574076695, -43.99851487616975)",-20.00073057407669,-43.99851487616975
695,52911,00936409520,5074,9364,RUA,RUA,BERNARDO GUIMARAES,9520,,12,617,Barro Preto,195,12,Seção Urbana,Décima Segunda,2,CENTRO-SUL,30140083.0,"(-19.924829745065246, -43.957207160058374)",-19.92482974506525,-43.95720716005837
